"Taxon","State"
"Physalacria_bambusae","Absent"
"Physalacria_corticola","Absent"
"Physalacria_maipoensis","Absent"
"Cylindrobasidium_evolvens","Absent"
"Cylindrobasidium_laeve","Absent"
"Cylindrobasidium_torrendii","Absent"
"Naiadolina_flavomerulina","Absent"
"Resupinatus_conspersus","Absent"
"Resupinatus_dealbatus","Absent"
"Cyphella_digitalis","Absent"
"Cheimonophyllum_candidissimum","Absent"
"Chondrostereum_purpureum","Absent"
"Gerronema_viridilucens","Absent"
"Mycena_amabilissima","Absent"
"Atheniella_aurantiidisca","Absent"
"Atheniella_adonis","Absent"
"Henningsomyces_candidus","Absent"
"Henningsomyces_puber","Absent"
"Rectipilus_idahoensis","Absent"
"Clitocybe_ulmicola","Absent"
"Porotheleum_fimbriatum","Absent"
"Delicatula_integrella","Absent"
"Hydropus_fuliginarius","Absent"
"Hydropus_marginellus","Absent"
"Clitocybula_oculus","Absent"
"Clitocybula_platyphylla","Absent"
"Clitocybula_atroalba","Absent"
"Mycena_auricoma","Absent"
"Mycopan_scabripes","Absent"
"Baeospora_myriadophylla","Absent"
"Baeospora_myosura","Absent"
"Mycenella_salicina","Absent"
"Hemimycena_delicatella","Absent"
"Chaetotyphula_hyalina","Absent"
"Actiniceps_laevis","Absent"
"Calyptella_campanula","Absent"
"Hemimycena_ignobilis","Absent"
"Hemimycena_gracilis","Absent"
"Mycena_cahaya","Absent"
"Mycena_sinar","Absent"
"Mycena_seminau","Absent"
"Mycena_rutilantiformis","Absent"
"Mycena_pura","Absent"
"Mycena_gombakensis","Absent"
"Favolaschia_heliconiae","Absent"
"Favolaschia_andina","Absent"
"Favolaschia_macropora","Absent"
"Favolaschia_cinnabarina","Absent"
"Favolaschia_aurantiaca","Absent"
"Favolaschia_peziziformis","Absent"
"Mycenoporella_griseipora","Absent"
"Filoboletus_gracilis","Absent"
"Poromycena_manipularis","Absent"
"Filoboletus_manipularis","Absent"
"Mycena_capillaripes","Absent"
"Mycena_galericulata","Absent"
"Cruentomycena_viscidocruenta","Absent"
"Panellus_stipticus","Absent"
"Dictyopanus_pusillus","Absent"
"Resinomycena_acadiensis","Absent"
"Panellus_luxfilamentus","Absent"
"Resinomycena_rhododendri","Absent"
"Mycena_insignis","Absent"
"Mycena_tenax","Absent"
"Mycena_flavoalba","Absent"
"Mycena_clavicularis","Absent"
"Mycena_tintinnabulum","Absent"
"Mycena_epipterygia","Absent"
"Mycena_luteopallens","Absent"
"Mycena_leaiana","Absent"
"Mycena_polygramma","Absent"
"Mycena_leptocephala","Absent"
"Mycena_maculata","Absent"
"Mycena_aurantiomarginata","Absent"
"Mycena_crocata","Absent"
"Mycena_haematopus","Absent"
"Mycena_galopus","Absent"
"Mycena_sanguinolenta","Absent"
"Mycena_renati","Absent"
"Mycena_citrinomarginata","Absent"
"Mycena_plumbea","Absent"
"Mycena_rubromarginata","Absent"
"Mycena_zephirus","Absent"
"Mycena_amicta","Absent"
"Mycena_illuminans","Absent"
"Lepista_ovispora","Absent"
"Lepista_panaeolus","Absent"
"Lepista_irina","Absent"
"Clitocybe_rivulosa","Absent"
"Clitocybe_cerussatta","Absent"
"Clitocybe_robusta","Absent"
"Clitocybe_nebularis","Absent"
"Clitocybe_metachroa","Absent"
"Clitocybe_quercina","Absent"
"Clitocybe_ramigena","Absent"
"Clitocybe_glacialis","Absent"
"Paralepistopsis_amoenolens","Absent"
"Clitocybe_fragrans","Absent"
"Lepista_personata","Absent"
"Lepista_sordida","Absent"
"Lepista_nuda","Absent"
"Tricholoma_mongolicum","Present"
"Clitocybe_agrestis","Absent"
"Clitocybe_ruderalis","Absent"
"Collybia_tuberosa","Absent"
"Porpoloma_macrocephalum","Present"
"Porpoloma_terreum","Present"
"Porpoloma_portentosum","Present"
"Porpoloma_sejunctum","Present"
"Dennisiomyces_glabrescentipes","Absent"
"Corneriella_indica","Absent"
"Corneriella_humicola","Absent"
"Corneriella_bambusarum","Absent"
"Pseudobaeospora_pyrifera","Absent"
"Leucopaxillus_alboalutaceus","Absent"
"Leucopaxillus_lilacinus","Absent"
"Leucopaxillus_paradoxus","Absent"
"Leucopaxillus_cerealis","Absent"
"Leucopaxillus_eucalyptorum","Absent"
"Leucopaxillus_gentianeus","Absent"
"Leucopaxillus_laterarius","Absent"
"Leucopaxillus_amarus","Absent"
"Leucopaxillus_tricolor","Absent"
"Pseudotricholoma_metapodium","Absent"
"Pseudotricholoma_umbrosum","Absent"
"Tricholoma_pessundatum","Present"
"Tricholoma_fulvum","Present"
"Tricholoma_imbricatum","Present"
"Tricholoma_vaccinum","Present"
"Tricholoma_caligatum","Present"
"Tricholoma_saponaceum","Present"
"Tricholoma_apium","Present"
"Tricholoma_viridiolivaceum","Present"
"Tricholoma_subresplendens","Present"
"Tricholoma_equestre","Present"
"Tricholoma_frondosae","Present"
"Tricholoma_portentosum","Present"
"Tricholoma_intermedium","Present"
"Tricholoma_palustre","Present"
