"","Taxon","State"
"Acarospora_austroshetlandica","Acarospora_austroshetlandica","Absent"
"Acarospora_badiofusca","Acarospora_badiofusca","Absent"
"Acarospora_bullata","Acarospora_bullata","Absent"
"Acarospora_canadensis","Acarospora_canadensis","Absent"
"Acarospora_cervina","Acarospora_cervina","Absent"
"Acarospora_clauzadeana","Acarospora_clauzadeana","Absent"
"Acarospora_complanata","Acarospora_complanata","Absent"
"Acarospora_fulvoviridula","Acarospora_fulvoviridula","Absent"
"Acarospora_fuscata","Acarospora_fuscata","Absent"
"Acarospora_hilaris","Acarospora_hilaris","Absent"
"Acarospora_laqueata","Acarospora_laqueata","Absent"
"Acarospora_moenium","Acarospora_moenium","Absent"
"Acarospora_molybdina","Acarospora_molybdina","Absent"
"Acarospora_nitrophila","Acarospora_nitrophila","Absent"
"Acarospora_peliscypha","Acarospora_peliscypha","Absent"
"Acarospora_rosulata","Acarospora_rosulata","Absent"
"Acarospora_rugulosa","Acarospora_rugulosa","Absent"
"Acarospora_scabrida","Acarospora_scabrida","Absent"
"Acarospora_schleicheri","Acarospora_schleicheri","Absent"
"Acarospora_sinopica","Acarospora_sinopica","Absent"
"Acarospora_smaragdula","Acarospora_smaragdula","Absent"
"Acarospora_socialis","Acarospora_socialis","Absent"
"Acarospora_strigata","Acarospora_strigata","Absent"
"Acarospora_thamnina","Acarospora_thamnina","Absent"
"Glypholecia_scabra","Glypholecia_scabra","Absent"
"Pleopsidium_chlorophanum","Pleopsidium_chlorophanum","Absent"
"Pleopsidium_discurrens","Pleopsidium_discurrens","Absent"
"Pleopsidium_flavum","Pleopsidium_flavum","Absent"
"Pleopsidium_gobiense","Pleopsidium_gobiense","Absent"
"Polysporina_frigida","Polysporina_frigida","Absent"
"Polysporina_simplex","Polysporina_simplex","Absent"
"Sarcogyne_privigna","Sarcogyne_privigna","Absent"
"Sarcogyne_regularis","Sarcogyne_regularis","Absent"
"Timdalia_intricata","Timdalia_intricata","Absent"
"Fuscidea_cyathoides","Fuscidea_cyathoides","Absent"
"Fuscidea_intercincta","Fuscidea_intercincta","Absent"
"Fuscidea_lightfootii","Fuscidea_lightfootii","Absent"
"Fuscidea_lygaea","Fuscidea_lygaea","Absent"
"Fuscidea_mollis","Fuscidea_mollis","Absent"
"Fuscidea_pusilla","Fuscidea_pusilla","Absent"
"Fuscidea_recensa","Fuscidea_recensa","Absent"
"Maronea_chilensis","Maronea_chilensis","Absent"
"Maronea_constans","Maronea_constans","Absent"
"Bryobilimbia_australis","Bryobilimbia_australis","Absent"
"Bryobilimbia_diapensiae","Bryobilimbia_diapensiae","Absent"
"Bryobilimbia_hypnorum","Bryobilimbia_hypnorum","Absent"
"Bryobilimbia_sanguineoatra","Bryobilimbia_sanguineoatra","Absent"
"Acroscyphus_sphaerophoroides","Acroscyphus_sphaerophoroides","Absent"
"Amandinea_efflorescens","Amandinea_efflorescens","Absent"
"Amandinea_lignicola","Amandinea_lignicola","Absent"
"Amandinea_petermannii","Amandinea_petermannii","Absent"
"Amandinea_punctata","Amandinea_punctata","Absent"
"Australiaena_streimannii","Australiaena_streimannii","Absent"
"Buellia_aethalea","Buellia_aethalea","Absent"
"Buellia_anisomera","Buellia_anisomera","Absent"
"Buellia_capitis_regum","Buellia_capitis_regum","Absent"
"Buellia_centralis","Buellia_centralis","Absent"
"Buellia_dialyta","Buellia_dialyta","Absent"
"Buellia_dijiana","Buellia_dijiana","Absent"
"Buellia_disciformis","Buellia_disciformis","Absent"
"Buellia_dispersa","Buellia_dispersa","Absent"
"Buellia_elegans","Buellia_elegans","Absent"
"Buellia_epigaea","Buellia_epigaea","Absent"
"Buellia_erubescens","Buellia_erubescens","Absent"
"Buellia_fimbriata","Buellia_fimbriata","Absent"
"Buellia_frigida","Buellia_frigida","Absent"
"Buellia_geophila","Buellia_geophila","Absent"
"Buellia_georgei","Buellia_georgei","Absent"
"Buellia_griseovirens","Buellia_griseovirens","Absent"
"Buellia_insignis","Buellia_insignis","Absent"
"Buellia_muriformis","Buellia_muriformis","Absent"
"Buellia_ocellata","Buellia_ocellata","Absent"
"Buellia_papillata","Buellia_papillata","Absent"
"Buellia_penichra","Buellia_penichra","Absent"
"Buellia_russa","Buellia_russa","Absent"
"Buellia_schaereri","Buellia_schaereri","Absent"
"Buellia_stillingiana","Buellia_stillingiana","Absent"
"Buellia_subdisciformis","Buellia_subdisciformis","Absent"
"Buellia_submuriformis","Buellia_submuriformis","Absent"
"Buellia_triphragmoides","Buellia_triphragmoides","Absent"
"Buellia_triseptata","Buellia_triseptata","Absent"
"Buellia_zoharyi","Buellia_zoharyi","Absent"
"Calicium_abietinum","Calicium_abietinum","Absent"
"Calicium_adaequatum","Calicium_adaequatum","Absent"
"Calicium_adspersum","Calicium_adspersum","Absent"
"Calicium_chlorosporum","Calicium_chlorosporum","Absent"
"Calicium_denigratum","Calicium_denigratum","Absent"
"Calicium_glaucellum","Calicium_glaucellum","Absent"
"Calicium_hyperelloides","Calicium_hyperelloides","Absent"
"Calicium_montanum","Calicium_montanum","Absent"
"Calicium_pinastri","Calicium_pinastri","Absent"
"Calicium_quercinum","Calicium_quercinum","Absent"
"Calicium_robustellum","Calicium_robustellum","Absent"
"Calicium_salicinum","Calicium_salicinum","Absent"
"Calicium_sequoiae","Calicium_sequoiae","Absent"
"Calicium_trabinellum","Calicium_trabinellum","Absent"
"Calicium_tricolor","Calicium_tricolor","Absent"
"Calicium_victorianum","Calicium_victorianum","Absent"
"Calicium_viride","Calicium_viride","Absent"
"Cyphelium_inquinans","Cyphelium_inquinans","Absent"
"Cyphelium_karelicum","Cyphelium_karelicum","Absent"
"Cyphelium_lucidum","Cyphelium_lucidum","Absent"
"Cyphelium_notarisii","Cyphelium_notarisii","Absent"
"Cyphelium_tigillare","Cyphelium_tigillare","Absent"
"Dermatiscum_thunbergii","Dermatiscum_thunbergii","Absent"
"Dimelaena_oreina","Dimelaena_oreina","Absent"
"Dimelaena_radiata","Dimelaena_radiata","Absent"
"Diploicia_canescens","Diploicia_canescens","Absent"
"Diploicia_subcanescens","Diploicia_subcanescens","Absent"
"Diplotomma_alboatrum","Diplotomma_alboatrum","Absent"
"Diplotomma_epipolium","Diplotomma_epipolium","Absent"
"Diplotomma_pharcidium","Diplotomma_pharcidium","Absent"
"Diplotomma_rivas_martinezii","Diplotomma_rivas_martinezii","Absent"
"Diplotomma_subdispersa","Diplotomma_subdispersa","Absent"
"Diplotomma_venustum","Diplotomma_venustum","Absent"
"Dirinaria_aegialita","Dirinaria_aegialita","Absent"
"Dirinaria_applanata","Dirinaria_applanata","Absent"
"Dirinaria_confusa","Dirinaria_confusa","Absent"
"Dirinaria_picta","Dirinaria_picta","Absent"
"Hafellia_dissa","Hafellia_dissa","Absent"
"Pyxine_albovirens","Pyxine_albovirens","Absent"
"Pyxine_coccoes","Pyxine_coccoes","Absent"
"Pyxine_consocians","Pyxine_consocians","Absent"
"Pyxine_copelandii","Pyxine_copelandii","Absent"
"Pyxine_endochrysina","Pyxine_endochrysina","Absent"
"Pyxine_farinosa","Pyxine_farinosa","Absent"
"Pyxine_limbulata","Pyxine_limbulata","Absent"
"Pyxine_petricola","Pyxine_petricola","Absent"
"Pyxine_sorediata","Pyxine_sorediata","Absent"
"Pyxine_subcinerea","Pyxine_subcinerea","Absent"
"Rinodina_cacuminum","Rinodina_cacuminum","Absent"
"Santessonia_namibensis","Santessonia_namibensis","Absent"
"Santessonia_sorediata","Santessonia_sorediata","Absent"
"Tetramelas_confusus","Tetramelas_confusus","Absent"
"Tetramelas_phaeophysciae","Tetramelas_phaeophysciae","Absent"
"Tetramelas_pulverulentus","Tetramelas_pulverulentus","Absent"
"Texosporium_sancti_jacobi","Texosporium_sancti_jacobi","Absent"
"Thelomma_mammosum","Thelomma_mammosum","Absent"
"Thelomma_ocellatum","Thelomma_ocellatum","Absent"
"Tholurna_dissimilis","Tholurna_dissimilis","Absent"
"Anaptychia_bryorum","Anaptychia_bryorum","Absent"
"Anaptychia_ciliaris","Anaptychia_ciliaris","Absent"
"Anaptychia_crinalis","Anaptychia_crinalis","Absent"
"Anaptychia_desertorum","Anaptychia_desertorum","Absent"
"Anaptychia_elburziana","Anaptychia_elburziana","Absent"
"Anaptychia_isidiata","Anaptychia_isidiata","Absent"
"Anaptychia_palmatula","Anaptychia_palmatula","Absent"
"Anaptychia_runcinata","Anaptychia_runcinata","Absent"
"Anaptychia_ulotricoides","Anaptychia_ulotricoides","Absent"
"Buellia_lindingeri","Buellia_lindingeri","Absent"
"Coscinocladium_gaditanum","Coscinocladium_gaditanum","Absent"
"Heterodermia_albicans","Heterodermia_albicans","Absent"
"Heterodermia_appendiculata","Heterodermia_appendiculata","Absent"
"Heterodermia_boryi","Heterodermia_boryi","Absent"
"Heterodermia_casarettiana","Heterodermia_casarettiana","Absent"
"Heterodermia_comosa","Heterodermia_comosa","Absent"
"Heterodermia_diademata","Heterodermia_diademata","Absent"
"Heterodermia_dissecta","Heterodermia_dissecta","Absent"
"Heterodermia_erinacea","Heterodermia_erinacea","Absent"
"Heterodermia_flabellata","Heterodermia_flabellata","Absent"
"Heterodermia_hypochraea","Heterodermia_hypochraea","Absent"
"Heterodermia_hypoleuca","Heterodermia_hypoleuca","Absent"
"Heterodermia_isidiophora","Heterodermia_isidiophora","Absent"
"Heterodermia_japonica","Heterodermia_japonica","Absent"
"Heterodermia_lamelligera","Heterodermia_lamelligera","Absent"
"Heterodermia_leucomelaena","Heterodermia_leucomelaena","Absent"
"Heterodermia_lutescens","Heterodermia_lutescens","Absent"
"Heterodermia_microphylla","Heterodermia_microphylla","Absent"
"Heterodermia_obscurata","Heterodermia_obscurata","Absent"
"Heterodermia_pellucida","Heterodermia_pellucida","Absent"
"Heterodermia_propagulifera","Heterodermia_propagulifera","Absent"
"Heterodermia_pseudospeciosa","Heterodermia_pseudospeciosa","Absent"
"Heterodermia_speciosa","Heterodermia_speciosa","Absent"
"Heterodermia_subascendens","Heterodermia_subascendens","Absent"
"Heterodermia_vulgaris","Heterodermia_vulgaris","Absent"
"Hyperphyscia_adglutinata","Hyperphyscia_adglutinata","Absent"
"Mobergia_calculiformis","Mobergia_calculiformis","Absent"
"Phaeophyscia_adiastola","Phaeophyscia_adiastola","Absent"
"Phaeophyscia_ciliata","Phaeophyscia_ciliata","Absent"
"Phaeophyscia_constipata","Phaeophyscia_constipata","Absent"
"Phaeophyscia_denigrata","Phaeophyscia_denigrata","Absent"
"Phaeophyscia_endococcina","Phaeophyscia_endococcina","Absent"
"Phaeophyscia_endophoenicea","Phaeophyscia_endophoenicea","Absent"
"Phaeophyscia_exornatula","Phaeophyscia_exornatula","Absent"
"Phaeophyscia_hirsuta","Phaeophyscia_hirsuta","Absent"
"Phaeophyscia_hirtella","Phaeophyscia_hirtella","Absent"
"Phaeophyscia_hirtuosa","Phaeophyscia_hirtuosa","Absent"
"Phaeophyscia_hispidula","Phaeophyscia_hispidula","Absent"
"Phaeophyscia_imbricata","Phaeophyscia_imbricata","Absent"
"Phaeophyscia_insignis","Phaeophyscia_insignis","Absent"
"Phaeophyscia_limbata","Phaeophyscia_limbata","Absent"
"Phaeophyscia_melanchra","Phaeophyscia_melanchra","Absent"
"Phaeophyscia_nigricans","Phaeophyscia_nigricans","Absent"
"Phaeophyscia_orbicularis","Phaeophyscia_orbicularis","Absent"
"Phaeophyscia_primaria","Phaeophyscia_primaria","Absent"
"Phaeophyscia_pusilloides","Phaeophyscia_pusilloides","Absent"
"Phaeophyscia_pyrrhophora","Phaeophyscia_pyrrhophora","Absent"
"Phaeophyscia_sciastra","Phaeophyscia_sciastra","Absent"
"Phaeophyscia_squarrosa","Phaeophyscia_squarrosa","Absent"
"Phaeorrhiza_nimbosa","Phaeorrhiza_nimbosa","Absent"
"Phaeorrhiza_sareptana","Phaeorrhiza_sareptana","Absent"
"Physcia_adscendens","Physcia_adscendens","Absent"
"Physcia_aipolia","Physcia_aipolia","Absent"
"Physcia_alba","Physcia_alba","Absent"
"Physcia_albinea","Physcia_albinea","Absent"
"Physcia_alnophila","Physcia_alnophila","Absent"
"Physcia_atrostriata","Physcia_atrostriata","Absent"
"Physcia_austrostellaris","Physcia_austrostellaris","Absent"
"Physcia_biziana","Physcia_biziana","Absent"
"Physcia_caesia","Physcia_caesia","Absent"
"Physcia_dimidiata","Physcia_dimidiata","Absent"
"Physcia_dubia","Physcia_dubia","Absent"
"Physcia_erumpens","Physcia_erumpens","Absent"
"Physcia_integrata","Physcia_integrata","Absent"
"Physcia_jackii","Physcia_jackii","Absent"
"Physcia_kalbii","Physcia_kalbii","Absent"
"Physcia_krogiae","Physcia_krogiae","Absent"
"Physcia_leptalea","Physcia_leptalea","Absent"
"Physcia_magnussonii","Physcia_magnussonii","Absent"
"Physcia_millegrana","Physcia_millegrana","Absent"
"Physcia_nubila","Physcia_nubila","Absent"
"Physcia_orientalis","Physcia_orientalis","Absent"
"Physcia_phaea","Physcia_phaea","Absent"
"Physcia_semipinnata","Physcia_semipinnata","Absent"
"Physcia_sorediosa","Physcia_sorediosa","Absent"
"Physcia_stellaris","Physcia_stellaris","Absent"
"Physcia_subalbinea","Physcia_subalbinea","Absent"
"Physcia_tenella","Physcia_tenella","Absent"
"Physcia_tribacia","Physcia_tribacia","Absent"
"Physcia_tropica","Physcia_tropica","Absent"
"Physcia_undulata","Physcia_undulata","Absent"
"Physciella_chloantha","Physciella_chloantha","Absent"
"Physconia_americana","Physconia_americana","Absent"
"Physconia_detersa","Physconia_detersa","Absent"
"Physconia_distorta","Physconia_distorta","Absent"
"Physconia_elegantula","Physconia_elegantula","Absent"
"Physconia_enteroxantha","Physconia_enteroxantha","Absent"
"Physconia_grisea","Physconia_grisea","Absent"
"Physconia_grumosa","Physconia_grumosa","Absent"
"Physconia_isidiigera","Physconia_isidiigera","Absent"
"Physconia_kurokawae","Physconia_kurokawae","Absent"
"Physconia_leucoleiptes","Physconia_leucoleiptes","Absent"
"Physconia_muscigena","Physconia_muscigena","Absent"
"Physconia_perisidiosa","Physconia_perisidiosa","Absent"
"Physconia_servitii","Physconia_servitii","Absent"
"Physconia_subpulverulenta","Physconia_subpulverulenta","Absent"
"Physconia_thorstenii","Physconia_thorstenii","Absent"
"Physconia_venusta","Physconia_venusta","Absent"
"Rinodina_alba","Rinodina_alba","Absent"
"Rinodina_albana","Rinodina_albana","Absent"
"Rinodina_atrocinerea","Rinodina_atrocinerea","Absent"
"Rinodina_bischoffii","Rinodina_bischoffii","Absent"
"Rinodina_cacaotina","Rinodina_cacaotina","Absent"
"Rinodina_calcarea","Rinodina_calcarea","Absent"
"Rinodina_candidogrisea","Rinodina_candidogrisea","Absent"
"Rinodina_capensis","Rinodina_capensis","Absent"
"Rinodina_confragosa","Rinodina_confragosa","Absent"
"Rinodina_exigua","Rinodina_exigua","Absent"
"Rinodina_gallowayi","Rinodina_gallowayi","Absent"
"Rinodina_gennarii","Rinodina_gennarii","Absent"
"Rinodina_herteliana","Rinodina_herteliana","Absent"
"Rinodina_immersa","Rinodina_immersa","Absent"
"Rinodina_interpolata","Rinodina_interpolata","Absent"
"Rinodina_jamesii","Rinodina_jamesii","Absent"
"Rinodina_lecanorina","Rinodina_lecanorina","Absent"
"Rinodina_lepida","Rinodina_lepida","Absent"
"Rinodina_luridata","Rinodina_luridata","Absent"
"Rinodina_luridescens","Rinodina_luridescens","Absent"
"Rinodina_milvina","Rinodina_milvina","Absent"
"Rinodina_mniaraea","Rinodina_mniaraea","Absent"
"Rinodina_nimisii","Rinodina_nimisii","Absent"
"Rinodina_obnascens","Rinodina_obnascens","Absent"
"Rinodina_oleae","Rinodina_oleae","Absent"
"Rinodina_olivaceobrunnea","Rinodina_olivaceobrunnea","Absent"
"Rinodina_oxydata","Rinodina_oxydata","Absent"
"Rinodina_plana","Rinodina_plana","Absent"
"Rinodina_pyrina","Rinodina_pyrina","Absent"
"Rinodina_reagens","Rinodina_reagens","Absent"
"Rinodina_sophodes","Rinodina_sophodes","Absent"
"Rinodina_teichophila","Rinodina_teichophila","Absent"
"Rinodina_tephraspis","Rinodina_tephraspis","Absent"
"Rinodina_tunicata","Rinodina_tunicata","Absent"
"Rinodina_turfacea","Rinodina_turfacea","Absent"
"Rinodina_zwackhiana","Rinodina_zwackhiana","Absent"
"Rinodinella_controversa","Rinodinella_controversa","Absent"
"Rinodinella_dubyanoides","Rinodinella_dubyanoides","Absent"
"Tornabea_scutellifera","Tornabea_scutellifera","Absent"
"Catillaria_chalybeia","Catillaria_chalybeia","Absent"
"Catinaria_atropurpurea","Catinaria_atropurpurea","Absent"
"Clauzadea_monticola","Clauzadea_monticola","Absent"
"Calycidium_cuneatum","Calycidium_cuneatum","Absent"
"Carbonicola_anthracophila","Carbonicola_anthracophila","Absent"
"Hypocenomyce_castaneocinerea","Hypocenomyce_castaneocinerea","Absent"
"Carassea_connexa","Carassea_connexa","Absent"
"Cladia_aggregata","Cladia_aggregata","Absent"
"Cladia_corallaizon","Cladia_corallaizon","Absent"
"Cladia_deformis","Cladia_deformis","Absent"
"Cladia_dumicola","Cladia_dumicola","Absent"
"Cladia_ferdinandii","Cladia_ferdinandii","Absent"
"Cladia_fuliginosa","Cladia_fuliginosa","Absent"
"Cladia_inflata","Cladia_inflata","Absent"
"Cladia_moniliformis","Cladia_moniliformis","Absent"
"Cladia_retipora","Cladia_retipora","Absent"
"Cladia_schizopora","Cladia_schizopora","Absent"
"Cladia_sullivanii","Cladia_sullivanii","Absent"
"Cladonia_acuminata","Cladonia_acuminata","Absent"
"Cladonia_ahtii","Cladonia_ahtii","Absent"
"Cladonia_albofuscescens","Cladonia_albofuscescens","Absent"
"Cladonia_amaurocraea","Cladonia_amaurocraea","Absent"
"Cladonia_anaemica","Cladonia_anaemica","Absent"
"Cladonia_andesita","Cladonia_andesita","Absent"
"Cladonia_apodocarpa","Cladonia_apodocarpa","Absent"
"Cladonia_arbuscula","Cladonia_arbuscula","Absent"
"Cladonia_argentea","Cladonia_argentea","Absent"
"Cladonia_asahinae","Cladonia_asahinae","Absent"
"Cladonia_atlantica","Cladonia_atlantica","Absent"
"Cladonia_bacilliformis","Cladonia_bacilliformis","Absent"
"Cladonia_bahiana","Cladonia_bahiana","Absent"
"Cladonia_beaumontii","Cladonia_beaumontii","Absent"
"Cladonia_bellidiflora","Cladonia_bellidiflora","Absent"
"Cladonia_borbonica","Cladonia_borbonica","Absent"
"Cladonia_borealis","Cladonia_borealis","Absent"
"Cladonia_boryi","Cladonia_boryi","Absent"
"Cladonia_botrytes","Cladonia_botrytes","Absent"
"Cladonia_caespiticia","Cladonia_caespiticia","Absent"
"Cladonia_callosa","Cladonia_callosa","Absent"
"Cladonia_calyciformis","Cladonia_calyciformis","Absent"
"Cladonia_capitellata","Cladonia_capitellata","Absent"
"Cladonia_cariosa","Cladonia_cariosa","Absent"
"Cladonia_carneola","Cladonia_carneola","Absent"
"Cladonia_caroliniana","Cladonia_caroliniana","Absent"
"Cladonia_cartilaginea","Cladonia_cartilaginea","Absent"
"Cladonia_cenotea","Cladonia_cenotea","Absent"
"Cladonia_ceratophylla","Cladonia_ceratophylla","Absent"
"Cladonia_cervicornis","Cladonia_cervicornis","Absent"
"Cladonia_chlorophaea","Cladonia_chlorophaea","Absent"
"Cladonia_clathrata","Cladonia_clathrata","Absent"
"Cladonia_coccifera","Cladonia_coccifera","Absent"
"Cladonia_confusa","Cladonia_confusa","Absent"
"Cladonia_coniocraea","Cladonia_coniocraea","Absent"
"Cladonia_conista","Cladonia_conista","Absent"
"Cladonia_consimilis","Cladonia_consimilis","Absent"
"Cladonia_convoluta","Cladonia_convoluta","Absent"
"Cladonia_corallifera","Cladonia_corallifera","Absent"
"Cladonia_corniculata","Cladonia_corniculata","Absent"
"Cladonia_cornuta","Cladonia_cornuta","Absent"
"Cladonia_corsicana","Cladonia_corsicana","Absent"
"Cladonia_corymbescens","Cladonia_corymbescens","Absent"
"Cladonia_crinita","Cladonia_crinita","Absent"
"Cladonia_crispata","Cladonia_crispata","Absent"
"Cladonia_crispatula","Cladonia_crispatula","Absent"
"Cladonia_cristatella","Cladonia_cristatella","Absent"
"Cladonia_cyathomorpha","Cladonia_cyathomorpha","Absent"
"Cladonia_cylindrica","Cladonia_cylindrica","Absent"
"Cladonia_deformis","Cladonia_deformis","Absent"
"Cladonia_delavayi","Cladonia_delavayi","Absent"
"Cladonia_dendroides","Cladonia_dendroides","Absent"
"Cladonia_densissima","Cladonia_densissima","Absent"
"Cladonia_didyma","Cladonia_didyma","Absent"
"Cladonia_digitata","Cladonia_digitata","Absent"
"Cladonia_dimorphoclada","Cladonia_dimorphoclada","Absent"
"Cladonia_divaricata","Cladonia_divaricata","Absent"
"Cladonia_diversa","Cladonia_diversa","Absent"
"Cladonia_ecmocyna","Cladonia_ecmocyna","Absent"
"Cladonia_elixii","Cladonia_elixii","Absent"
"Cladonia_evansii","Cladonia_evansii","Absent"
"Cladonia_farinacea","Cladonia_farinacea","Absent"
"Cladonia_fimbriata","Cladonia_fimbriata","Absent"
"Cladonia_firma","Cladonia_firma","Absent"
"Cladonia_fissidens","Cladonia_fissidens","Absent"
"Cladonia_fleigiae","Cladonia_fleigiae","Absent"
"Cladonia_floerkeana","Cladonia_floerkeana","Absent"
"Cladonia_foliacea","Cladonia_foliacea","Absent"
"Cladonia_fruticulosa","Cladonia_fruticulosa","Absent"
"Cladonia_furcata","Cladonia_furcata","Absent"
"Cladonia_furfuraceoides","Cladonia_furfuraceoides","Absent"
"Cladonia_glauca","Cladonia_glauca","Absent"
"Cladonia_gracilis","Cladonia_gracilis","Absent"
"Cladonia_grayi","Cladonia_grayi","Absent"
"Cladonia_hedbergii","Cladonia_hedbergii","Absent"
"Cladonia_hians","Cladonia_hians","Absent"
"Cladonia_homchantarae","Cladonia_homchantarae","Absent"
"Cladonia_humilis","Cladonia_humilis","Absent"
"Cladonia_hypomelaena","Cladonia_hypomelaena","Absent"
"Cladonia_incrassata","Cladonia_incrassata","Absent"
"Cladonia_innominata","Cladonia_innominata","Absent"
"Cladonia_kurokawae","Cladonia_kurokawae","Absent"
"Cladonia_laii","Cladonia_laii","Absent"
"Cladonia_latiloba","Cladonia_latiloba","Absent"
"Cladonia_lepidophora","Cladonia_lepidophora","Absent"
"Cladonia_leporina","Cladonia_leporina","Absent"
"Cladonia_lopezii","Cladonia_lopezii","Absent"
"Cladonia_luteoalba","Cladonia_luteoalba","Absent"
"Cladonia_macilenta","Cladonia_macilenta","Absent"
"Cladonia_macilentoides","Cladonia_macilentoides","Absent"
"Cladonia_macroceras","Cladonia_macroceras","Absent"
"Cladonia_macrophylla","Cladonia_macrophylla","Absent"
"Cladonia_macrophyllodes","Cladonia_macrophyllodes","Absent"
"Cladonia_magyarica","Cladonia_magyarica","Absent"
"Cladonia_marionii","Cladonia_marionii","Absent"
"Cladonia_mauritiana","Cladonia_mauritiana","Absent"
"Cladonia_maxima","Cladonia_maxima","Absent"
"Cladonia_merochlorophaea","Cladonia_merochlorophaea","Absent"
"Cladonia_metacorallifera","Cladonia_metacorallifera","Absent"
"Cladonia_metaminiata","Cladonia_metaminiata","Absent"
"Cladonia_minarum","Cladonia_minarum","Absent"
"Cladonia_miniata","Cladonia_miniata","Absent"
"Cladonia_mitis","Cladonia_mitis","Absent"
"Cladonia_multiformis","Cladonia_multiformis","Absent"
"Cladonia_nana","Cladonia_nana","Absent"
"Cladonia_nashii","Cladonia_nashii","Absent"
"Cladonia_neozelandica","Cladonia_neozelandica","Absent"
"Cladonia_nipponica","Cladonia_nipponica","Absent"
"Cladonia_novochlorophaea","Cladonia_novochlorophaea","Absent"
"Cladonia_ochrochlora","Cladonia_ochrochlora","Absent"
"Cladonia_pachycladodes","Cladonia_pachycladodes","Absent"
"Cladonia_parvipes","Cladonia_parvipes","Absent"
"Cladonia_peltastica","Cladonia_peltastica","Absent"
"Cladonia_perforata","Cladonia_perforata","Absent"
"Cladonia_pertricosa","Cladonia_pertricosa","Absent"
"Cladonia_petrophila","Cladonia_petrophila","Absent"
"Cladonia_peziziformis","Cladonia_peziziformis","Absent"
"Cladonia_phyllophora","Cladonia_phyllophora","Absent"
"Cladonia_piedadensis","Cladonia_piedadensis","Absent"
"Cladonia_pityrophylla","Cladonia_pityrophylla","Absent"
"Cladonia_pleurota","Cladonia_pleurota","Absent"
"Cladonia_pocillum","Cladonia_pocillum","Absent"
"Cladonia_polydactyla","Cladonia_polydactyla","Absent"
"Cladonia_polyscypha","Cladonia_polyscypha","Absent"
"Cladonia_polystomata","Cladonia_polystomata","Absent"
"Cladonia_portentosa","Cladonia_portentosa","Absent"
"Cladonia_prancei","Cladonia_prancei","Absent"
"Cladonia_prostrata","Cladonia_prostrata","Absent"
"Cladonia_pulvinata","Cladonia_pulvinata","Absent"
"Cladonia_pulvinella","Cladonia_pulvinella","Absent"
"Cladonia_pycnoclada","Cladonia_pycnoclada","Absent"
"Cladonia_pyxidata","Cladonia_pyxidata","Absent"
"Cladonia_rangiferina","Cladonia_rangiferina","Absent"
"Cladonia_rangiformis","Cladonia_rangiformis","Absent"
"Cladonia_rappii","Cladonia_rappii","Absent"
"Cladonia_ravenelii","Cladonia_ravenelii","Absent"
"Cladonia_recticaulis","Cladonia_recticaulis","Absent"
"Cladonia_rei","Cladonia_rei","Absent"
"Cladonia_rigida","Cladonia_rigida","Absent"
"Cladonia_robbinsii","Cladonia_robbinsii","Absent"
"Cladonia_rotundata","Cladonia_rotundata","Absent"
"Cladonia_rudis","Cladonia_rudis","Absent"
"Cladonia_rugulosa","Cladonia_rugulosa","Absent"
"Cladonia_salmonea","Cladonia_salmonea","Absent"
"Cladonia_scabriuscula","Cladonia_scabriuscula","Absent"
"Cladonia_secundana","Cladonia_secundana","Absent"
"Cladonia_signata","Cladonia_signata","Absent"
"Cladonia_sinensis","Cladonia_sinensis","Absent"
"Cladonia_singhii","Cladonia_singhii","Absent"
"Cladonia_solitaria","Cladonia_solitaria","Absent"
"Cladonia_squamosa","Cladonia_squamosa","Absent"
"Cladonia_squamosissima","Cladonia_squamosissima","Absent"
"Cladonia_staufferi","Cladonia_staufferi","Absent"
"Cladonia_stellaris","Cladonia_stellaris","Absent"
"Cladonia_stenroosiae","Cladonia_stenroosiae","Absent"
"Cladonia_steyermarkii","Cladonia_steyermarkii","Absent"
"Cladonia_stipitata","Cladonia_stipitata","Absent"
"Cladonia_strepsilis","Cladonia_strepsilis","Absent"
"Cladonia_stygia","Cladonia_stygia","Absent"
"Cladonia_subcariosa","Cladonia_subcariosa","Absent"
"Cladonia_subcervicornis","Cladonia_subcervicornis","Absent"
"Cladonia_subchordalis","Cladonia_subchordalis","Absent"
"Cladonia_subconistea","Cladonia_subconistea","Absent"
"Cladonia_subfurcata","Cladonia_subfurcata","Absent"
"Cladonia_subreticulata","Cladonia_subreticulata","Absent"
"Cladonia_subsetacea","Cladonia_subsetacea","Absent"
"Cladonia_subsquamosa","Cladonia_subsquamosa","Absent"
"Cladonia_substellata","Cladonia_substellata","Absent"
"Cladonia_subsubulata","Cladonia_subsubulata","Absent"
"Cladonia_subtenuis","Cladonia_subtenuis","Absent"
"Cladonia_subturgida","Cladonia_subturgida","Absent"
"Cladonia_subulata","Cladonia_subulata","Absent"
"Cladonia_sulcata","Cladonia_sulcata","Absent"
"Cladonia_sulphurina","Cladonia_sulphurina","Absent"
"Cladonia_symphycarpa","Cladonia_symphycarpa","Absent"
"Cladonia_symphycarpia","Cladonia_symphycarpia","Absent"
"Cladonia_terrae_novae","Cladonia_terrae_novae","Absent"
"Cladonia_thomsonii","Cladonia_thomsonii","Absent"
"Cladonia_trapezuntica","Cladonia_trapezuntica","Absent"
"Cladonia_turgida","Cladonia_turgida","Absent"
